 Vinddata Oria.
 Longitude: 19.02 Latitude: 59.98
*******************************************************************
Datum:tid,Hastighet (m/S),Byar (m/s),Vindriktning (grader),OK?
2023-05-03 01:00:36,3.9,6.3,274,False
2023-05-03 01:03:56,3.9,6.3,274,False
2023-05-03 01:05:37,3.9,6.3,274,False
2023-05-03 01:07:20,3.9,6.3,274,False
2023-05-03 01:08:52,3.9,6.3,274,False
2023-05-28 22:44:26,6,11.2,336,False
2023-06-26 23:05:25,3.6,4.9,149,False
2023-06-26 23:59:33,3.5,4.8,143,False
2023-06-27 00:03:36,3.5,4.8,143,False
2023-06-27 00:04:43,3.5,4.8,143,False
2023-06-27 00:09:00,3.5,4.8,143,False
2023-06-27 00:10:03,3.5,4.8,143,False
2023-07-26 18:24:21,6.4,8.5,247,False
2023-07-26 18:24:53,6.4,8.5,247,False
2023-07-26 18:25:52,6.4,8.5,247,False
2023-07-26 18:29:23,,,,False
2023-07-26 18:29:23,6.4,8.5,247,False
2023-07-26 18:30:05,6.4,8.5,247,False
2023-07-26 18:34:41,5.1,7.4,237,False
2023-07-26 18:44:39,5.1,7.4,237,False
2023-08-01 00:41:59,3.9,6.2,187,False
2023-08-06 15:47:57,8.4,12.8,37,False
2023-08-06 15:49:02,8.4,12.8,37,False
2023-08-06 15:53:14,8.4,12.8,37,False
2023-08-06 15:57:13,8.4,12.8,37,False
2023-08-06 15:58:56,8.4,12.8,37,False
2023-08-06 16:00:35,8.4,12.8,37,False
