 Vinddata Oria.
 Longitude: 19.02 Latitude: 59.98
*******************************************************************
Datum:tid,Hastighet (m/S),Byar (m/s),Vindriktning (grader),OK?
2023-08-08 14:32:40,12.2,16.1,171,False
2023-08-08 14:35:07,12.2,16.1,171,False
2023-08-08 14:35:42,12.2,16.1,171,False
2023-08-08 14:39:34,12.2,16.1,171,False
2023-08-08 14:43:45,12.2,16.1,171,False
2023-08-08 14:45:00,12.2,16.1,171,False
2023-08-08 14:47:12,12.2,16.1,171,False
2023-08-08 15:05:39,12.2,16.1,171,False
2023-08-08 15:06:32,,,,False
2023-08-08 15:06:44,,,,False
2023-08-08 15:06:53,,,,False
2023-08-08 15:07:09,,,,False
2023-08-08 15:07:21,14.7,17.4,186,False
2023-08-08 15:07:24,14.7,17.4,186,False
2023-08-08 15:11:09,14.7,17.4,186,False
2023-08-08 15:14:54,14.7,17.4,186,False
2023-08-08 15:18:39,14.7,17.4,186,False
2023-08-08 15:22:24,14.7,17.4,186,False
2023-08-08 15:26:09,14.7,17.4,186,False
2023-08-08 15:29:54,14.7,17.4,186,False
2023-08-08 16:03:21,15.8,18.9,186,False
2023-08-08 16:06:14,15.8,18.9,186,False
2023-08-08 16:06:56,15.8,18.9,186,False
2023-08-08 16:15:08,15.8,18.9,186,False
2023-08-08 16:16:42,15.8,18.9,186,False
